Temp_Min,Temp_Max,RH_Min,RH_Max,Wind_Speed,Rainfall,No_of_rainy_days,Sunshine_Hrs,Inc_Per
22.72,29.25,62.45,90.44,10.21,4.40,2.00,3.51,17.60
22.40,30.51,57.34,92.69,8.51,6.90,3.00,4.86,14.54
23.33,31.03,51.81,85.11,9.62,3.00,1.00,4.64,16.46
22.63,30.70,56.31,90.08,7.33,5.60,2.00,5.46,18.37
21.86,29.62,63.26,96.03,6.87,0.00,0.00,5.32,16.97
22.92,32.79,43.87,86.57,5.92,16.40,1.00,5.14,15.57
22.66,30.70,62.33,90.70,5.25,77.30,5.00,3.11,16.13
21.92,29.69,62.28,96.19,9.70,90.60,3.00,5.00,16.68
22.24,28.31,70.07,96.56,5.47,57.20,7.00,1.37,15.33
22.07,31.97,51.74,96.17,3.47,56.20,2.00,8.18,13.97
22.36,32.47,46.43,90.42,3.10,1.40,1.00,5.69,19.17
23.08,33.73,43.79,93.90,5.74,20.00,2.00,7.00,16.45
22.22,29.22,71.39,97.36,7.72,159.70,7.00,1.61,20.48
21.73,30.54,52.94,92.60,6.57,7.80,2.00,7.18,13.29
22.28,32.55,38.98,82.57,3.48,0.00,0.00,6.93,16.70
20.56,33.09,23.11,63.29,2.02,0.00,0.00,9.86,8.70
18.88,32.47,24.09,57.58,3.69,0.00,0.00,9.21,8.10
19.35,31.29,37.15,70.55,4.44,0.00,0.00,8.21,2.30
21.67,28.36,44.66,67.54,3.84,23.30,4.00,4.29,5.40
20.22,29.57,17.69,29.03,2.02,9.00,2.00,7.04,8.10
17.52,30.50,27.31,57.51,2.22,0.00,0.00,9.50,6.80
16.81,29.51,36.36,68.63,1.66,0.00,0.00,8.29,7.70
17.20,29.88,33.04,77.21,1.82,0.00,0.00,9.00,3.60
18.21,29.31,42.39,80.23,1.87,0.00,0.00,7.96,2.80
15.98,28.75,33.10,66.24,2.06,0.00,0.00,8.54,1.80
18.74,27.93,45.71,79.48,2.48,0.00,0.00,6.79,2.30
18.31,27.73,41.11,58.30,1.75,0.00,0.00,8.07,1.70
18.32,29.36,46.82,86.21,2.04,8.50,2.00,6.64,1.30
15.29,29.24,25.81,56.73,1.76,0.00,0.00,9.89,1.70
17.27,29.41,26.68,61.69,1.86,0.00,0.00,9.07,1.30
18.28,31.13,25.94,61.50,1.59,0.00,0.00,9.36,1.30
19.95,32.43,33.11,65.06,2.16,3.80,1.00,9.32,1.60
21.61,34.59,26.63,58.20,3.39,1.80,2.00,9.43,1.93
19.89,35.20,18.12,49.63,3.06,0.10,1.00,10.43,1.46
22.13,36.16,16.88,48.21,3.18,0.00,0.00,9.43,1.30
23.07,36.77,19.08,47.70,3.08,0.00,0.00,8.43,0.62
22.80,37.24,11.96,38.72,1.64,0.00,0.00,7.43,0.72
25.32,37.41,11.31,33.02,2.87,0.00,0.00,9.21,0.92
23.78,38.29,11.37,46.12,4.41,0.00,0.00,9.74,1.52
26.30,40.04,13.04,38.49,3.01,0.00,0.00,7.28,0.92
25.49,41.18,13.09,47.70,5.31,0.30,1.00,9.46,1.24
26.82,37.47,10.91,44.02,6.03,0.00,0.00,9.18,1.96
27.29,38.80,19.92,55.50,4.33,11.10,3.00,8.09,1.32
25.92,39.41,15.99,55.85,5.64,0.00,0.00,8.61,1.68
27.26,41.84,11.95,52.04,5.20,0.00,0.00,10.50,0.88
27.18,41.99,13.82,59.15,6.44,0.00,0.00,7.86,1.28
26.26,39.89,20.59,68.65,8.22,0.00,0.00,10.50,0.90
25.42,37.17,30.35,63.53,9.32,4.10,1.00,10.50,0.52
26.60,36.57,30.47,73.14,7.57,48.40,4.00,5.96,1.30
30.42,34.33,41.63,82.13,9.89,24.60,2.00,3.82,2.08
31.85,32.27,53.65,90.16,10.30,1.00,1.00,6.00,2.08
29.37,31.33,58.79,92.80,8.79,97.00,4.00,5.89,3.52
23.44,31.28,56.60,93.40,7.81,2.30,3.00,4.64,6.56
23.29,31.64,53.10,91.65,3.83,8.40,2.00,5.25,5.52
22.94,29.31,69.04,96.74,11.49,64.60,3.00,2.64,5.52
22.17,28.96,69.43,98.34,11.27,71.80,5.00,2.96,13.85
